"id";"team_fifa_api_id";"team_api_id";"date";"buildUpPlaySpeed";"buildUpPlaySpeedClass";"buildUpPlayDribbling";"buildUpPlayDribblingClass";"buildUpPlayPassing";"buildUpPlayPassingClass";"buildUpPlayPositioningClass";"chanceCreationPassing";"chanceCreationPassingClass";"chanceCreationCrossing";"chanceCreationCrossingClass";"chanceCreationShooting";"chanceCreationShootingClass";"chanceCreationPositioningClass";"defencePressure";"defencePressureClass";"defenceAggression";"defenceAggressionClass";"defenceTeamWidth";"defenceTeamWidthClass";"defenceDefenderLineClass"
1.0;434.0;9930.0;"2010-02-22 00:00:00";60.0;"Balanced";49.0;"Little";50.0;"Mixed";"Organised";60.0;"Normal";65.0;"Normal";55.0;"Normal";"Organised";50.0;"Medium";55.0;"Press";45.0;"Normal";"Cover"
2.0;434.0;9930.0;"2014-09-19 00:00:00";52.0;"Balanced";48.0;"Normal";56.0;"Mixed";"Organised";54.0;"Normal";63.0;"Normal";64.0;"Normal";"Organised";47.0;"Medium";44.0;"Press";54.0;"Normal";"Cover"
4.0;77.0;8485.0;"2010-02-22 00:00:00";70.0;"Fast";49.0;"Little";70.0;"Long";"Organised";70.0;"Risky";70.0;"Lots";70.0;"Lots";"Organised";60.0;"Medium";70.0;"Double";70.0;"Wide";"Cover"
5.0;77.0;8485.0;"2011-02-22 00:00:00";47.0;"Balanced";49.0;"Little";52.0;"Mixed";"Organised";53.0;"Normal";48.0;"Normal";52.0;"Normal";"Organised";47.0;"Medium";47.0;"Press";52.0;"Normal";"Cover"
6.0;77.0;8485.0;"2012-02-22 00:00:00";58.0;"Balanced";49.0;"Little";62.0;"Mixed";"Organised";45.0;"Normal";70.0;"Lots";55.0;"Normal";"Organised";40.0;"Medium";40.0;"Press";60.0;"Normal";"Cover"
7.0;77.0;8485.0;"2013-09-20 00:00:00";62.0;"Balanced";49.0;"Little";45.0;"Mixed";"Organised";40.0;"Normal";50.0;"Normal";55.0;"Normal";"Organised";42.0;"Medium";42.0;"Press";60.0;"Normal";"Cover"
8.0;77.0;8485.0;"2014-09-19 00:00:00";58.0;"Balanced";64.0;"Normal";62.0;"Mixed";"Organised";56.0;"Normal";68.0;"Lots";57.0;"Normal";"Organised";41.0;"Medium";42.0;"Press";60.0;"Normal";"Cover"
10.0;614.0;8576.0;"2010-02-22 00:00:00";60.0;"Balanced";49.0;"Little";40.0;"Mixed";"Organised";45.0;"Normal";35.0;"Normal";55.0;"Normal";"Organised";30.0;"Deep";70.0;"Double";30.0;"Narrow";"Offside Trap"
11.0;614.0;8576.0;"2011-02-22 00:00:00";65.0;"Balanced";49.0;"Little";45.0;"Mixed";"Organised";65.0;"Normal";65.0;"Normal";50.0;"Normal";"Organised";45.0;"Medium";45.0;"Press";50.0;"Normal";"Cover"
12.0;614.0;8576.0;"2012-02-22 00:00:00";59.0;"Balanced";49.0;"Little";52.0;"Mixed";"Organised";48.0;"Normal";34.0;"Normal";52.0;"Normal";"Organised";38.0;"Medium";47.0;"Press";53.0;"Normal";"Cover"
13.0;614.0;8576.0;"2013-09-20 00:00:00";59.0;"Balanced";49.0;"Little";52.0;"Mixed";"Organised";48.0;"Normal";34.0;"Normal";52.0;"Normal";"Organised";38.0;"Medium";47.0;"Press";53.0;"Normal";"Cover"
14.0;614.0;8576.0;"2014-09-19 00:00:00";59.0;"Balanced";57.0;"Normal";52.0;"Mixed";"Organised";48.0;"Normal";38.0;"Normal";52.0;"Normal";"Organised";38.0;"Medium";47.0;"Press";53.0;"Normal";"Cover"
16.0;47.0;8564.0;"2010-02-22 00:00:00";45.0;"Balanced";49.0;"Little";30.0;"Short";"Free Form";55.0;"Normal";45.0;"Normal";70.0;"Lots";"Free Form";30.0;"Deep";35.0;"Press";60.0;"Normal";"Offside Trap"
17.0;47.0;8564.0;"2011-02-22 00:00:00";65.0;"Balanced";49.0;"Little";50.0;"Mixed";"Organised";50.0;"Normal";60.0;"Normal";50.0;"Normal";"Free Form";50.0;"Medium";50.0;"Press";50.0;"Normal";"Offside Trap"
18.0;47.0;8564.0;"2012-02-22 00:00:00";45.0;"Balanced";49.0;"Little";50.0;"Mixed";"Organised";65.0;"Normal";20.0;"Little";50.0;"Normal";"Free Form";45.0;"Medium";45.0;"Press";50.0;"Normal";"Cover"
